workflowid,gsm_version,param,index,default,configurable,gsm_analysis_date
kri0001,1.3.1,strGroup,,Site,FALSE,2022-11-18
kri0001,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
kri0001,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
kri0001,1.3.1,vThreshold,3,2,TRUE,2022-11-18
kri0001,1.3.1,vThreshold,4,3,TRUE,2022-11-18
kri0001,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
kri0002,1.3.1,strGroup,,Site,FALSE,2022-11-18
kri0002,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
kri0002,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
kri0002,1.3.1,vThreshold,3,2,TRUE,2022-11-18
kri0002,1.3.1,vThreshold,4,3,TRUE,2022-11-18
kri0002,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
kri0003,1.3.1,strGroup,,Site,FALSE,2022-11-18
kri0003,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
kri0003,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
kri0003,1.3.1,vThreshold,3,2,TRUE,2022-11-18
kri0003,1.3.1,vThreshold,4,3,TRUE,2022-11-18
kri0003,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
kri0004,1.3.1,strGroup,,Site,FALSE,2022-11-18
kri0004,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
kri0004,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
kri0004,1.3.1,vThreshold,3,2,TRUE,2022-11-18
kri0004,1.3.1,vThreshold,4,3,TRUE,2022-11-18
kri0004,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
kri0005,1.3.1,strGroup,,Site,FALSE,2022-11-18
kri0005,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
kri0005,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
kri0005,1.3.1,vThreshold,3,2,TRUE,2022-11-18
kri0005,1.3.1,vThreshold,4,3,TRUE,2022-11-18
kri0005,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
kri0006,1.3.1,strGroup,,Site,FALSE,2022-11-18
kri0006,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
kri0006,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
kri0006,1.3.1,vThreshold,3,2,TRUE,2022-11-18
kri0006,1.3.1,vThreshold,4,3,TRUE,2022-11-18
kri0006,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
kri0007,1.3.1,strGroup,,Site,FALSE,2022-11-18
kri0007,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
kri0007,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
kri0007,1.3.1,vThreshold,3,2,TRUE,2022-11-18
kri0007,1.3.1,vThreshold,4,3,TRUE,2022-11-18
kri0007,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
cou0001,1.3.1,strGroup,,Country,FALSE,2022-11-18
cou0001,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
cou0001,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
cou0001,1.3.1,vThreshold,3,2,TRUE,2022-11-18
cou0001,1.3.1,vThreshold,4,3,TRUE,2022-11-18
cou0001,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
cou0002,1.3.1,strGroup,,Country,FALSE,2022-11-18
cou0002,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
cou0002,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
cou0002,1.3.1,vThreshold,3,2,TRUE,2022-11-18
cou0002,1.3.1,vThreshold,4,3,TRUE,2022-11-18
cou0002,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
cou0003,1.3.1,strGroup,,Country,FALSE,2022-11-18
cou0003,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
cou0003,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
cou0003,1.3.1,vThreshold,3,2,TRUE,2022-11-18
cou0003,1.3.1,vThreshold,4,3,TRUE,2022-11-18
cou0003,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
cou0004,1.3.1,strGroup,,Country,FALSE,2022-11-18
cou0004,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
cou0004,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
cou0004,1.3.1,vThreshold,3,2,TRUE,2022-11-18
cou0004,1.3.1,vThreshold,4,3,TRUE,2022-11-18
cou0004,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
cou0005,1.3.1,strGroup,,Country,FALSE,2022-11-18
cou0005,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
cou0005,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
cou0005,1.3.1,vThreshold,3,2,TRUE,2022-11-18
cou0005,1.3.1,vThreshold,4,3,TRUE,2022-11-18
cou0005,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
cou0006,1.3.1,strGroup,,Country,FALSE,2022-11-18
cou0006,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
cou0006,1.3.1,vThreshold,2,-2,TRUE,2022-11-18
cou0006,1.3.1,vThreshold,3,2,TRUE,2022-11-18
cou0006,1.3.1,vThreshold,4,3,TRUE,2022-11-18
cou0006,1.3.1,strMethod,,NormalApprox,FALSE,2022-11-18
cou0007,1.3.1,strGroup,,Country,FALSE,2022-11-18
cou0007,1.3.1,vThreshold,1,-3,TRUE,2022-11-18
