"studyid","workflowid","groupid","n","numerator","denominator","kri","score","flag"
"AA-AA-000-0000","kri0001","X108X",1,8,45,0.177777777777778,6.17431914933654,1
"AA-AA-000-0000","kri0001","X096X",1,16,407,0.0393120393120393,6.46026849533264,1
"AA-AA-000-0000","kri0001","X145X",3,39,1747,0.0223239839725243,8.90440952621137,1
"AA-AA-000-0000","kri0001","X049X",3,42,2730,0.0153846153846154,8.04514353884431,1
"AA-AA-000-0000","kri0001","X180X",10,112,8577,0.0130581788504139,13.272972865301,1
"AA-AA-000-0000","kri0001","X120X",3,25,2013,0.0124192747143567,5.34148045440648,1
"AA-AA-000-0000","kri0001","X035X",3,24,2018,0.0118929633300297,5.08976794450316,1
"AA-AA-000-0000","kri0001","X164X",5,33,3045,0.0108374384236453,5.86205625122733,1
"AA-AA-000-0000","kri0001","X195X",2,35,3703,0.00945179584120983,5.59917013276887,1
"AA-AA-000-0000","kri0001","X068X",16,129,14654,0.00880305718575133,11.9402995249584,1
"AA-AA-000-0000","kri0001","X173X",8,48,6342,0.0075685903500473,5.87463966863971,1
"AA-AA-000-0000","kri0001","X086X",33,396,58066,0.00681982571556505,20.4570224018869,1
"AA-AA-000-0000","kri0001","X137X",7,83,12792,0.00648843026891807,7.4460842725084,1
"AA-AA-000-0000","kri0001","X140X",25,147,23645,0.006216959187989,10.4139306420679,1
"AA-AA-000-0000","kri0001","X114X",7,57,9248,0.00616349480968858,5.57703724714436,1
"AA-AA-000-0000","kri0001","X201X",23,137,34949,0.00391999771095024,6.41667253031549,1
"AA-AA-000-0000","kri0001","X192X",27,137,37624,0.003641292791835,5.81252057022985,1
"AA-AA-000-0000","kri0001","X055X",43,162,50728,0.00319350260211323,5.41824027049954,1
"AA-AA-000-0000","kri0001","X129X",12,32,31910,0.00100282043246631,-5.02930829618003,-1
"AA-AA-000-0000","kri0001","X141X",15,24,26082,0.000920174833218311,-5.13631256005623,-1
"AA-AA-000-0000","kri0001","X050X",27,28,32927,0.000850365961065387,-5.85184590910428,-1
"AA-AA-000-0000","kri0001","X098X",11,18,24757,0.000727067092135558,-5.94123012409993,-1
"AA-AA-000-0000","kri0001","X033X",15,17,24047,0.000706948891753649,-5.97928029493082,-1
"AA-AA-000-0000","kri0001","X193X",7,15,21607,0.000694219465913824,-5.82789174596306,-1
"AA-AA-000-0000","kri0001","X053X",10,11,16419,0.000669955539314209,-5.40802842613998,-1
"AA-AA-000-0000","kri0001","X072X",7,11,17830,0.000616937745372967,-5.78106406466448,-1
