studyid,workflowid,groupid,numerator,denominator,metric,score,flag,gsm_analysis_date,snapshot_date
AA-AA-000-0000,qtl0003,AA-AA-000-0000,2,5855,0.000341588385994876,4.13679382654082e-05,0,2022-11-17,2003-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,0,6,0,0,0,2022-11-17,2003-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,9,16189,0.000555933040953734,0.000254207986742747,0,2022-11-17,2004-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,1,19,0.0526315789473684,0.00133162880417942,0,2022-11-17,2004-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,20,32947,0.00060703554193098,0.000370793079351806,0,2022-11-17,2004-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,1,40,0.025,0.000632744932049419,0,2022-11-17,2004-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,61,57494,0.00106098027620273,0.000811565842713719,0,2022-11-17,2004-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,2,75,0.0266666666666667,0.00324593092896603,0,2022-11-17,2004-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,100,64552,0.00154913867889453,0.00126044105916042,0,2022-11-17,2004-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,3,86,0.0348837209302326,0.00725245642830306,0,2022-11-17,2004-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,132,75665,0.00174453181788145,0.00145963534551328,0,2022-11-17,2005-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,3,100,0.03,0.0062299715383064,0,2022-11-17,2005-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,187,99929,0.00187132864333677,0.0016127174822622,0,2022-11-17,2005-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,3,130,0.0230769230769231,0.00478453632438639,0,2022-11-17,2005-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,253,125510,0.00201577563540754,0.00177501832790621,0,2022-11-17,2005-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,5,167,0.029940119760479,0.00979151854400054,0,2022-11-17,2005-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,328,137316,0.00238865099478575,0.00213711422426165,0,2022-11-17,2005-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,8,183,0.0437158469945355,0.0190595989786866,0,2022-11-17,2005-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,411,148918,0.00275990813736419,0.00249950208098889,0,2022-11-17,2006-03-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,10,197,0.050761421319797,0.0246072740843579,0,2022-11-17,2006-03-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,481,172543,0.00278771088945944,0.00254411643905285,0,2022-11-17,2006-06-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,12,226,0.0530973451327434,0.0277337707600657,0,2022-11-17,2006-06-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,554,192188,0.00288259412658439,0.00264752357044396,0,2022-11-17,2006-09-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,15,253,0.0592885375494071,0.0335595678791628,0,2022-11-17,2006-09-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,617,208659,0.00295697765253356,0.00272822867826876,0,2022-11-17,2006-12-01
AA-AA-000-0000,qtl0007,AA-AA-000-0000,16,276,0.0579710144927536,0.0334949338064855,0,2022-11-17,2006-12-01
AA-AA-000-0000,qtl0003,AA-AA-000-0000,682,219622,0.0031053355310488,0.00287661947422466,0,2022-11-17,2007-03-01
