studyid,workflowid,param,value,gsm_analysis_date,snapshot_date
AA-AA-000-0000,qtl0004,LowCI,0.000105665605959966,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0004,UpCI,0.00149739932873481,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0004,Score,0.000105665605959966,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0006,LowCI,0,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0006,UpCI,0.4592581264399,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0006,Score,0,2003-12-01,2003-12-01
AA-AA-000-0000,qtl0004,LowCI,0.000254207986742747,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0004,UpCI,0.00105533408187159,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0004,Score,0.000254207986742747,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0006,LowCI,0.00133162880417942,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0006,UpCI,0.260280654195214,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0006,Score,0.00133162880417942,2004-03-01,2004-03-01
AA-AA-000-0000,qtl0004,LowCI,0.000370793079351806,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0004,UpCI,0.000937517160975949,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0004,Score,0.000370793079351806,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0006,LowCI,0.000632744932049419,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0006,UpCI,0.131585858482766,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0006,Score,0.000632744932049419,2004-06-01,2004-06-01
AA-AA-000-0000,qtl0004,LowCI,0.000811565842713719,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0004,UpCI,0.00136287355054155,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0004,Score,0.000811565842713719,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0006,LowCI,0.00324593092896603,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0930315322207255,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0006,Score,0.00324593092896603,2004-09-01,2004-09-01
AA-AA-000-0000,qtl0004,LowCI,0.00126044105916042,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0004,UpCI,0.00188416770653777,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0004,Score,0.00126044105916042,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0006,LowCI,0.00725245642830306,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0006,UpCI,0.0985761639885322,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0006,Score,0.00725245642830306,2004-12-01,2004-12-01
AA-AA-000-0000,qtl0004,LowCI,0.00145963534551328,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0004,UpCI,0.00206879215505263,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0004,Score,0.00145963534551328,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0006,LowCI,0.0062299715383064,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0006,UpCI,0.08517605297428,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0006,Score,0.0062299715383064,2005-03-01,2005-03-01
AA-AA-000-0000,qtl0004,LowCI,0.0016127174822622,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0004,UpCI,0.00215961266516247,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0004,Score,0.0016127174822622,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0006,LowCI,0.00478453632438639,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0006,UpCI,0.0659589749998664,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0006,Score,0.00478453632438639,2005-06-01,2005-06-01
AA-AA-000-0000,qtl0004,LowCI,0.00177501832790621,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0004,UpCI,0.00228007958680988,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0004,Score,0.00177501832790621,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0006,LowCI,0.00979151854400054,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0006,UpCI,0.0684843673677633,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0006,Score,0.00979151854400054,2005-09-01,2005-09-01
AA-AA-000-0000,qtl0004,LowCI,0.00213711422426165,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0004,UpCI,0.00266165630871494,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0004,Score,0.00213711422426165,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0006,LowCI,0.0190595989786866,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0006,UpCI,0.0843179875655525,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0006,Score,0.0190595989786866,2005-12-01,2005-12-01
AA-AA-000-0000,qtl0004,LowCI,0.00249950208098889,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0004,UpCI,0.00304007200994898,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0004,Score,0.00249950208098889,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0006,LowCI,0.0246072740843579,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0006,UpCI,0.0913688329910477,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0006,Score,0.0246072740843579,2006-03-01,2006-03-01
AA-AA-000-0000,qtl0004,LowCI,0.00254411643905285,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0004,UpCI,0.00304833698453293,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0004,Score,0.00254411643905285,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0006,LowCI,0.0277337707600657,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0006,UpCI,0.0909128957804014,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0006,Score,0.0277337707600657,2006-06-01,2006-06-01
AA-AA-000-0000,qtl0004,LowCI,0.00264752357044396,2006-09-01,2006-09-01
AA-AA-000-0000,qtl0004,UpCI,0.00313293974333144,2006-09-01,2006-09-01
AA-AA-000-0000,qtl0004,Score,0.00264752357044396,2006-09-01,2006-09-01
AA-AA-000-0000,qtl0006,LowCI,0.0335595678791628,2006-09-01,2006-09-01
