studyid,workflowid,threshold,x,y
AA-AA-000-0000,kri0001,-8,1.33629436111989,0
AA-AA-000-0000,kri0001,-5,1.33629436111989,0
AA-AA-000-0000,kri0001,0,1.33629436111989,0.026389185941972
AA-AA-000-0000,kri0001,5,1.33629436111989,3.26658613948529
AA-AA-000-0000,kri0001,8,1.33629436111989,6.98362462612406
AA-AA-000-0000,kri0001,-8,1.38629436111989,0
AA-AA-000-0000,kri0001,-5,1.38629436111989,0
AA-AA-000-0000,kri0001,0,1.38629436111989,0.0276856148333934
AA-AA-000-0000,kri0001,5,1.38629436111989,3.29911948463873
AA-AA-000-0000,kri0001,8,1.38629436111989,7.04390395232274
AA-AA-000-0000,kri0001,-8,1.43629436111989,0
AA-AA-000-0000,kri0001,-5,1.43629436111989,0
AA-AA-000-0000,kri0001,0,1.43629436111989,0.0290457337482284
AA-AA-000-0000,kri0001,5,1.43629436111989,3.33222974757504
AA-AA-000-0000,kri0001,8,1.43629436111989,7.10512921139637
AA-AA-000-0000,kri0001,-8,1.48629436111989,0
AA-AA-000-0000,kri0001,-5,1.48629436111989,0
AA-AA-000-0000,kri0001,0,1.48629436111989,0.0304726716040053
AA-AA-000-0000,kri0001,5,1.48629436111989,3.36593093463657
AA-AA-000-0000,kri0001,8,1.48629436111989,7.16732109666664
AA-AA-000-0000,kri0001,-8,1.53629436111989,0
AA-AA-000-0000,kri0001,-5,1.53629436111989,0
AA-AA-000-0000,kri0001,0,1.53629436111989,0.0319697110334556
AA-AA-000-0000,kri0001,5,1.53629436111989,3.40023746919566
AA-AA-000-0000,kri0001,8,1.53629436111989,7.23050086575529
AA-AA-000-0000,kri0001,-8,1.58629436111989,0
AA-AA-000-0000,kri0001,-5,1.58629436111989,0
AA-AA-000-0000,kri0001,0,1.58629436111989,0.0335402959361238
AA-AA-000-0000,kri0001,5,1.58629436111989,3.43516420598186
AA-AA-000-0000,kri0001,8,1.58629436111989,7.2946903585917
AA-AA-000-0000,kri0001,-8,1.63629436111989,0
AA-AA-000-0000,kri0001,-5,1.63629436111989,0
AA-AA-000-0000,kri0001,0,1.63629436111989,0.0351880394009669
AA-AA-000-0000,kri0001,5,1.63629436111989,3.47072644595584
AA-AA-000-0000,kri0001,8,1.63629436111989,7.35991201606645
AA-AA-000-0000,kri0001,-8,1.68629436111989,0
