studyid,workflowid,groupid,numerator,denominator,metric,score,flag,snapshot_date
AA-AA-000-0000,kri0001,77,0,1009,0,-1.02139327643795,0,2003-12-01
AA-AA-000-0000,kri0001,189,0,930,0,-0.1003042873805,0,2003-12-01
AA-AA-000-0000,kri0001,106,0,925,0,-0.0860356025872166,0,2003-12-01
AA-AA-000-0000,kri0001,26,0,925,0,-0.0860356025872166,0,2003-12-01
AA-AA-000-0000,kri0001,13,0,853,0,-0.0085691795494923,0,2003-12-01
AA-AA-000-0000,kri0001,61,1,1007,0.00099304865938431,0.677752806640843,0,2003-12-01
AA-AA-000-0000,kri0002,13,0,853,0,-7.46922766137029e-06,0,2003-12-01
AA-AA-000-0000,kri0002,106,0,925,0,-7.46922766137027e-06,0,2003-12-01
AA-AA-000-0000,kri0002,189,0,930,0,-7.46922766137027e-06,0,2003-12-01
AA-AA-000-0000,kri0002,26,0,925,0,-7.46922766137027e-06,0,2003-12-01
AA-AA-000-0000,kri0002,61,0,1007,0,-7.46922766137027e-06,0,2003-12-01
AA-AA-000-0000,kri0002,77,0,1009,0,-7.46922766137026e-06,0,2003-12-01
AA-AA-000-0000,kri0003,77,0,1037,0,-1.04737926738345,0,2003-12-01
AA-AA-000-0000,kri0003,189,0,975,0,-0.780304599303923,0,2003-12-01
AA-AA-000-0000,kri0003,106,0,959,0,-0.721029076297295,0,2003-12-01
AA-AA-000-0000,kri0003,13,0,897,0,-0.524034796159433,0,2003-12-01
AA-AA-000-0000,kri0003,61,1,1020,0.000980392156862745,0.673530115833546,0,2003-12-01
AA-AA-000-0000,kri0003,26,1,967,0.00103412616339193,1.0482081978798,0,2003-12-01
AA-AA-000-0000,kri0004,189,0,975,0,-0.83825456446145,0,2003-12-01
AA-AA-000-0000,kri0004,106,0,959,0,-0.712765236994569,0,2003-12-01
AA-AA-000-0000,kri0004,13,0,897,0,-0.37022326987759,0,2003-12-01
AA-AA-000-0000,kri0004,77,1,1037,0.000964320154291225,-0.166951947254942,0,2003-12-01
AA-AA-000-0000,kri0004,61,1,1020,0.000980392156862745,0.157335292047311,0,2003-12-01
AA-AA-000-0000,kri0004,26,1,967,0.00103412616339193,1.00643211835382,0,2003-12-01
AA-AA-000-0000,kri0001,77,0,1009,0,-0.599788326448288,0,2004-03-01
AA-AA-000-0000,kri0001,106,0,925,0,-0.533411972486304,0,2004-03-01
AA-AA-000-0000,kri0001,26,0,925,0,-0.533411972486304,0,2004-03-01
AA-AA-000-0000,kri0001,146,0,863,0,-0.485743652989033,0,2004-03-01
AA-AA-000-0000,kri0001,172,0,856,0,-0.480434984265291,0,2004-03-01
AA-AA-000-0000,kri0001,13,0,853,0,-0.478164471203517,0,2004-03-01
AA-AA-000-0000,kri0001,56,0,848,0,-0.474386480539883,0,2004-03-01
AA-AA-000-0000,kri0001,173,0,839,0,-0.467605705338323,0,2004-03-01
AA-AA-000-0000,kri0001,59,0,839,0,-0.467605705338323,0,2004-03-01
AA-AA-000-0000,kri0001,71,0,836,0,-0.465351073747886,0,2004-03-01
AA-AA-000-0000,kri0001,17,0,835,0,-0.464600157187913,0,2004-03-01
AA-AA-000-0000,kri0001,43,0,835,0,-0.464600157187913,0,2004-03-01
AA-AA-000-0000,kri0001,10,0,760,0,-0.409194358072737,0,2004-03-01
AA-AA-000-0000,kri0001,190,0,442,0,-0.196932096821377,0,2004-03-01
AA-AA-000-0000,kri0001,61,1,2002,0.0004995004995005,-0.13657859159627,0,2004-03-01
AA-AA-000-0000,kri0001,189,1,930,0.0010752688172043,1.46960594133881,0,2004-03-01
AA-AA-000-0000,kri0001,76,1,925,0.00108108108108108,1.47806210323911,0,2004-03-01
AA-AA-000-0000,kri0002,190,0,442,0,-4.53031558099478e-06,0,2004-03-01
AA-AA-000-0000,kri0002,10,0,760,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,106,0,925,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,13,0,853,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,146,0,863,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,17,0,835,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,172,0,856,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,173,0,839,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,189,0,930,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,26,0,925,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,43,0,835,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,56,0,848,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,59,0,839,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,71,0,836,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,76,0,925,0,-4.53031558099477e-06,0,2004-03-01
AA-AA-000-0000,kri0002,77,0,1009,0,-4.53031558099476e-06,0,2004-03-01
AA-AA-000-0000,kri0002,61,0,2002,0,-4.53031558099475e-06,0,2004-03-01
AA-AA-000-0000,kri0003,77,0,1037,0,-1.08017016388995,0,2004-03-01
AA-AA-000-0000,kri0003,189,0,975,0,-1.03711670331656,0,2004-03-01
AA-AA-000-0000,kri0003,106,0,959,0,-1.02585641081875,0,2004-03-01
AA-AA-000-0000,kri0003,172,0,893,0,-0.978713645351711,0,2004-03-01
AA-AA-000-0000,kri0003,173,0,883,0,-0.971468920505826,0,2004-03-01
AA-AA-000-0000,kri0003,59,0,882,0,-0.970742916680847,0,2004-03-01
AA-AA-000-0000,kri0003,146,0,877,0,-0.967108687277644,0,2004-03-01
AA-AA-000-0000,kri0003,17,0,877,0,-0.967108687277644,0,2004-03-01
AA-AA-000-0000,kri0003,56,0,877,0,-0.967108687277644,0,2004-03-01
AA-AA-000-0000,kri0003,71,0,876,0,-0.96638099634192,0,2004-03-01
AA-AA-000-0000,kri0003,10,0,803,0,-0.912466527400532,0,2004-03-01
AA-AA-000-0000,kri0003,190,0,480,0,-0.649796231428836,0,2004-03-01
AA-AA-000-0000,kri0003,61,1,2034,0.000491642084562439,-0.37168360751705,0,2004-03-01
AA-AA-000-0000,kri0003,46,0,37,0,-0.119794402117909,0,2004-03-01
AA-AA-000-0000,kri0003,76,1,966,0.0010351966873706,0.572293030926651,0,2004-03-01
AA-AA-000-0000,kri0003,13,1,897,0.00111482720178372,0.651237624179586,0,2004-03-01
AA-AA-000-0000,kri0003,43,2,869,0.00230149597238205,1.66887928505088,0,2004-03-01
AA-AA-000-0000,kri0003,26,4,967,0.00413650465356774,3.03370630558918,0,2004-03-01
AA-AA-000-0000,kri0004,189,0,975,0,-0.532272453468952,0,2004-03-01
AA-AA-000-0000,kri0004,76,0,966,0,-0.525059663215775,0,2004-03-01
AA-AA-000-0000,kri0004,106,0,959,0,-0.519471552146635,0,2004-03-01
AA-AA-000-0000,kri0004,13,0,897,0,-0.470823147889939,0,2004-03-01
AA-AA-000-0000,kri0004,172,0,893,0,-0.4677374955904,0,2004-03-01
AA-AA-000-0000,kri0004,173,0,883,0,-0.460051863158255,0,2004-03-01
AA-AA-000-0000,kri0004,59,0,882,0,-0.459285545738624,0,2004-03-01
AA-AA-000-0000,kri0004,146,0,877,0,-0.455460103185906,0,2004-03-01
AA-AA-000-0000,kri0004,17,0,877,0,-0.455460103185906,0,2004-03-01
AA-AA-000-0000,kri0004,56,0,877,0,-0.455460103185906,0,2004-03-01
AA-AA-000-0000,kri0004,71,0,876,0,-0.454696245309649,0,2004-03-01
AA-AA-000-0000,kri0004,43,0,869,0,-0.449360756182339,0,2004-03-01
AA-AA-000-0000,kri0004,10,0,803,0,-0.400060768670406,0,2004-03-01
AA-AA-000-0000,kri0004,61,1,2034,0.000491642084562439,-0.216861900182221,0,2004-03-01
AA-AA-000-0000,kri0004,190,0,480,0,-0.187648633233049,0,2004-03-01
AA-AA-000-0000,kri0004,46,0,37,0,-0.00432330609032486,0,2004-03-01
AA-AA-000-0000,kri0004,77,1,1037,0.000964320154291225,1.37315527214497,0,2004-03-01
AA-AA-000-0000,kri0004,26,1,967,0.00103412616339193,1.49455921515966,0,2004-03-01
AA-AA-000-0000,kri0001,77,0,1920,0,-1.81691227445249,0,2004-06-01
AA-AA-000-0000,kri0001,106,0,1766,0,-1.76596593669948,0,2004-06-01
AA-AA-000-0000,kri0001,172,0,1606,0,-1.709826677532,0,2004-06-01
AA-AA-000-0000,kri0001,138,0,1525,0,-1.67998963736769,0,2004-06-01
AA-AA-000-0000,kri0001,139,0,1516,0,-1.67661039977264,0,2004-06-01
AA-AA-000-0000,kri0001,26,0,925,0,-1.41725118416497,0,2004-06-01
AA-AA-000-0000,kri0001,13,0,853,0,-1.37871798191994,0,2004-06-01
AA-AA-000-0000,kri0001,174,0,841,0,-1.37208931260451,0,2004-06-01
AA-AA-000-0000,kri0001,111,0,840,0,-1.37153411350017,0,2004-06-01
AA-AA-000-0000,kri0001,173,0,839,0,-1.37097847810674,0,2004-06-01
AA-AA-000-0000,kri0001,59,0,839,0,-1.37097847810674,0,2004-06-01
AA-AA-000-0000,kri0001,69,0,761,0,-1.32621912165285,0,2004-06-01
AA-AA-000-0000,kri0001,143,0,760,0,-1.32562604486439,0,2004-06-01
AA-AA-000-0000,kri0001,62,0,758,0,-1.32443834475848,0,2004-06-01
AA-AA-000-0000,kri0001,96,0,688,0,-1.28149603237733,0,2004-06-01
AA-AA-000-0000,kri0001,92,0,673,0,-1.27192271077028,0,2004-06-01
AA-AA-000-0000,kri0001,53,0,567,0,-1.19988997532531,0,2004-06-01
AA-AA-000-0000,kri0001,61,1,2002,0.0004995004995005,-0.58075913210783,0,2004-06-01
AA-AA-000-0000,kri0001,17,1,1670,0.000598802395209581,-0.435692291649667,0,2004-06-01
AA-AA-000-0000,kri0001,56,1,848,0.00117924528301887,0.0543419986462262,0,2004-06-01
AA-AA-000-0000,kri0001,71,1,836,0.00119617224880383,0.0638480727927352,0,2004-06-01
AA-AA-000-0000,kri0001,10,2,1524,0.00131233595800525,0.466655595782485,0,2004-06-01
AA-AA-000-0000,kri0001,76,2,925,0.00216216216216216,0.874085056172613,0,2004-06-01
