studyid,groupid,snapshot_date,n_flagged,n_kri,pct,flagged_kri
AA-AA-000-0000,3,snapshots/2007-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2007-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2007-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2007-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2008-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2008-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2008-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2008-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2009-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2009-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2009-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2009-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2010-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2010-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2010-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2010-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2011-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2011-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2011-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2011-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2012-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2012-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2012-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2012-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2013-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2013-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2013-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2013-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2014-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2014-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2014-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2014-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2015-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2015-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2015-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2015-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2016-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2016-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2016-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2016-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2017-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2017-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2017-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2017-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2018-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2018-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2018-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2018-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2019-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2019-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2019-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2019-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2020-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2020-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2020-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2020-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2021-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2021-06-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2021-09-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2021-12-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2022-03-01,0,4,0,""
AA-AA-000-0000,3,snapshots/2022-06-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2004-12-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2005-03-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2005-06-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2005-09-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2005-12-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2006-03-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2006-06-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2006-09-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2006-12-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2007-03-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2007-06-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2007-09-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2007-12-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2008-03-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2008-06-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2008-09-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2008-12-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2009-03-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2009-06-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2009-09-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2009-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2010-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2010-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2010-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2010-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2011-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2011-06-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2011-09-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2011-12-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2012-03-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2012-06-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2012-09-01,0,4,0,""
AA-AA-000-0000,4,snapshots/2012-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2013-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2013-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2013-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2013-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2014-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2014-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2014-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2014-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2015-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2015-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2015-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2015-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2016-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2016-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2016-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2016-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2017-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2017-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2017-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2017-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2018-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2018-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2018-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2018-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2019-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2019-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2019-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2019-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2020-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2020-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2020-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2020-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2021-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2021-06-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2021-09-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2021-12-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2022-03-01,1,4,25,kri0003
AA-AA-000-0000,4,snapshots/2022-06-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2005-12-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2006-03-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2006-06-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2006-09-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2006-12-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2007-03-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2007-06-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2007-09-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2007-12-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2008-03-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2008-06-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2008-09-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2008-12-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2009-03-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2009-06-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2009-09-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2009-12-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2010-03-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2010-06-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2010-09-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2010-12-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2011-03-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2011-06-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2011-09-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2011-12-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2012-03-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2012-06-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2012-09-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2012-12-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2013-03-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2013-06-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2013-09-01,0,4,0,""
AA-AA-000-0000,5,snapshots/2013-12-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2014-03-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2014-06-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2014-09-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2014-12-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2015-03-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2015-06-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2015-09-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2015-12-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2016-03-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2016-06-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2016-09-01,1,4,25,kri0003
AA-AA-000-0000,5,snapshots/2016-12-01,1,4,25,kri0003
